State,Constituency Name,Candidate,Party,Votes Margin,Year
Jharkhand,Giridih,Ravindra Kumar Pandey,BJP,40313,2014
Maharashtra,Latur,Patil Shivraj Vishwanath,INC,40290,1999
Jharkhand,Hazaribagh,Yashwant Sinha,BJP,40164,2009
Maharashtra,Nanded,Shri Prataprao Patil Chikkalikar,BJP,40148,2019
Tamil Nadu,Mayiladuthurai,Manishankar Aiyar,INC,40131,1999
Andhra Pradesh,Amalapuram,G.V. Harsha Kumar,INC,40005,2009
Uttar Pradesh,Sant Kabir Nagar,Bhismshankar Alias Kushal Tiwari,BSP,39998,2009
Andhra Pradesh,Amalapuram,CHINTA ANURADHA,YSRCP,39966,2019
Uttar Pradesh,Lalganj,Dr. Baliram,BSP,39948,2009
Gujarat,Sabarkantha,Madhusudan Mistry,INC,39928,2004
Himachal Pradesh,Mandi,Ram Swaroop Sharma,BJP,39856,2014
Uttar Pradesh,Mirzapur,Ramesh Dubey,BSP,39830,2004
Maharashtra,Sangli,Pratik Prakashbapu Patil,INC,39783,2009
Meghalaya,Tura,Purno Agitok Sangma,NPP,39716,2014
Orissa,Sundargarh,Jual Oram,BJP,39676,2004
Bihar,Bettiah,Dr Madan Prasad Jaiswal,BJP,39650,1999
Karnataka,Bidar,N.Dharam Singh,INC,39619,2009
Maharashtra,Washim,Bhawana Pundlikrao Gawali,SHS,39595,1999
Andhra Pradesh,Guntur,Rayapati Sambasiva Rao,INC,39355,2009
Bihar,Pataliputra,Ram Krapal Yadav,BJP,39321,2019
Uttar Pradesh,Hardoi,Usha Varma,SP,39203,2004
Karnataka,Dharwad South,Prof. I.G. Sanadi,INC,39198,1999
Rajasthan,Jalore,B. Susheela,BJP,39192,2004
West Bengal,Raiganj,Priya Ranjan Dasmunsi,INC,39147,2004
Jharkhand,Dumka,Shibu Soren,JMM,39030,2014
Chhattisgarh,Bastar,Deepak Baij,INC,38982,2019
Uttar Pradesh,Bahraich,Kamal Kishor,INC,38953,2009
Jammu And Kashmir,Anantnag,Mehbooba Mufti,JKPDP,38938,2004
Andhra Pradesh,Visakhapatnam,M.V.V.S.Murthy,TDP,38919,1999
Orissa,Balasore,Srikant Kumar Jena,INC,38900,2009
Uttar Pradesh,Kaushambi,Vinod Kumar Sonkar,BJP,38722,2019
Tamil Nadu,Coimbatore,P.R. Natarajan,CPM,38664,2009
Bihar,Patna,Ram Kripal Yadav,RJD,38562,2004
Bihar,Maharajganj,Janardan Singh (Sigriwal),BJP,38415,2014
Tamil Nadu,Rasipuram,"Saroja, V. Dr.",ADMK,38405,1999
Karnataka,Koppal,Karadi Sanganna Amarappa,BJP,38397,2019
Assam,Karimganj,Shri Kripanath Mallah,BJP,38389,2019
Maharashtra,Mumbai-North-West,Gurudas Kamat,INC,38387,2009
Uttar Pradesh,Kairana,Amir Alam,RLD,38272,1999
Madhya Pradesh,Khargone,Tarachand Patel,INC,38146,1999
Uttar Pradesh,Mathura,Manvendra Singh,INC,38132,2004
Bihar,Hajipur,Ram Sundar Das,JD(U),37954,2009
West Bengal,Asansol,Bikash Chowdhury,CPM,37864,1999
Meghalaya,Shillong,Paty Ripple Kyndiah,INC,37823,1999
Assam,Kokrajhar,Naba Kumar Sarania,Independent,37786,2019
Uttar Pradesh,Unnao,Deepak Kumar,SP,37775,1999
Bihar,Barh,Vijay Krishna,RJD,37688,2004
Uttarakhand,Hardwar,Rajendra Kumar,SP,37659,2004
Delhi,Karol Bagh,Krishna Tirath,INC,37629,2004
Karnataka,Bangalore South,Ananth Kumar,BJP,37612,2009
Madhya Pradesh,Chhindwara,Nakul Kumar Nath,INC,37536,2019
Karnataka,Bijapur,Basanagouda R Patil (Yatnal),BJP,37533,2004
Karnataka,Chitradurga,N.Y. Hanumanthappa,INC,37460,2004
Andhra Pradesh,Tirupati,Varaprasad Rao Velagapalli,YSRCP,37425,2014
West Bengal,Howrah,Ambica Banerjee,AITC,37392,2009
Rajasthan,Chittorgarh,Shrichand Kriplani,BJP,37377,1999
Maharashtra,Dindori,Harischandra Deoram Chavan,BJP,37347,2009
Gujarat,Amreli,Naranbhai Kachhadia,BJP,37317,2009
Tamil Nadu,Madurai,"Mohan, P.",CPM,37223,1999
Uttar Pradesh,Hamirpur,Rajnarayan Alias Rajju Mahraj,SP,37154,2004
Andhra Pradesh,Bhadrachalam,Dumpa Mary Vijaya Kumari,TDP,37103,1999
Uttar Pradesh,Gonda,Kirti Vardhan Singh Alias Raja Bhaiya,SP,36998,2004
Maharashtra,Amravati,Navnit Ravi Rana,Independent,36951,2019
West Bengal,Jangipur,Pranab Mukherjee,INC,36860,2004
Jammu And Kashmir,Srinagar,Omer Abdullah,JKN,36859,1999
Tamil Nadu,Mayiladuthurai,O. S. Manian,AIADMK,36854,2009
Uttar Pradesh,Hathras,Smt. Sarika Devendra Singh Baghel,RLD,36852,2009
Maharashtra,Nashik,Dhikale Uttamrao Nathuji,SHS,36812,1999
Goa,Panaji,Shripad Yasso Naik,BJP,36721,1999
Madhya Pradesh,Rajgarh,Lakshman Singh,BJP,36712,2004
Karnataka,Bijapur,Basangouda Ramangouda Patil(Yatnal),BJP,36639,1999
Uttar Pradesh,Ghosi,Bal Krishna,BSP,36501,1999
Madhya Pradesh,Gwalior,Yashodhara Raje Scindhia,BJP,36474,2004
Punjab,Jalandhar,Mohinder Singh Kaypee,INC,36445,2009
Uttar Pradesh,Sitapur,Rajesh Verma,BSP,36362,1999
Gujarat,Amreli,Dileep Sanghani,BJP,36324,1999
Gujarat,Chhota Udaipur,Naranbhai Rathwa,INC,36239,2004
Bihar,Gopalganj,Raghunath Jha,JD(U),36124,1999
Jammu And Kashmir,Baramulla,Abdul Rashid Shaheen,JKN,36113,1999
Rajasthan,Jalore,Buta Singh,INC,35924,1999
Uttar Pradesh,Moradabad,Dr. Shafiqurrahman Barq,SP,35840,2004
Gujarat,Jamnagar,Koradiya Chandreshbhai Valjibhai (Chandresh Patel),BJP,35769,1999
Uttar Pradesh,Sant Kabir Nagar,Praveen Kumar Nishad,BJP,35749,2019
West Bengal,Murshidabad,Abdul Mannan Hossain,INC,35647,2009
Uttar Pradesh,Domariyaganj,Ram Pal Singh,BJP,35567,1999
Haryana,Sirsa,Ashok Tanwar,INC,35499,2009
Karnataka,Bagalkot,Parvatagouda Chandanagouda Gaddigoudar,BJP,35446,2009
Assam,Nowgong,Rajen Gohain,BJP,35428,1999
Orissa,Dhenkanal,Mahesh Sahu,BJD,35412,2019
Uttar Pradesh,Mohanlalganj,Reena Chowdhary,SP,35358,1999
Andhra Pradesh,Narasaraopet,Sambasiva Rao Rayapati,TDP,35280,2014
Assam,Silchar,Sushmita Dev,INC,35241,2014
Karnataka,Bangalore Central,P. C. Mohan,BJP,35218,2009
Chhattisgarh,Kanker,Vikram Dev Usendi,BJP,35158,2014
Assam,Dibrugarh,Paban Singh Ghatowar,INC,35143,2009
Kerala,Alleppey,V.M. Sudheeran,INC,35094,1999
Bihar,Darbhanga,Kirti Azad,BJP,35043,2014
Telangana,Mahabubabad,Prof. Azmeera Seetaram Naik,TRS,34992,2014
Uttar Pradesh,Allahabad,Kunwar Rewati Raman Singh,SP,34920,2009
Bihar,Nawada,Dr. Bhola Singh,BJP,34917,2009
Bihar,Bikramganj,Kanti Singh,RJD,34768,1999
Tamil Nadu,Tenkasi,P. Lingam,CPI,34677,2009
Madhya Pradesh,Shajapur,Thavarchand Gehlot,BJP,34666,1999
Uttar Pradesh,Banda,R.K. Singh Patel,SP,34593,2009
Punjab,Jalandhar,Balbir Singh,INC,34566,1999
Bihar,Kishanganj,Dr.Mohammad Javed,INC,34466,2019
Uttar Pradesh,Kanpur,Sriprakash Jaiswal,INC,34459,1999
Punjab,Fatehgarh Sahib,Sukhdev Singh Libra,INC,34299,2009
Haryana,Faridabad,Ram Chander Bainda,BJP,34248,1999
Punjab,Hoshiarpur,Charanjit Singh Channi,INC,34206,1999
Madhya Pradesh,Khargone,Makhansingh Solanki,BJP,34175,2009
Orissa,Kalahandi,Bikram Keshari Deo,BJP,34122,2004
Madhya Pradesh,Dhar,Gajendra Singh Rajukhedi,INC,34105,1999
Andhra Pradesh,Kakinada,Dr. M. Mangapati Pallam Raju,INC,34044,2009
Gujarat,Surendranagar,Koli Patel Somabhai Gandabhai,BJP,33944,2004
West Bengal,Cooch Behar,Nripendra Nath Roy,AIFB,33749,2009
Gujarat,Kaira,Dinsha Patel,INC,33717,1999
Punjab,Ropar,Sukhdev Singh Libra,SAD,33637,2004
Uttar Pradesh,Basti,Harish Chandra Alias Harish Dwivedi,BJP,33562,2014
Uttar Pradesh,Faizabad,Mitrasen,BSP,33486,2004
Punjab,Jalandhar,Rana Gurjeet Singh,INC,33463,2004
Tamil Nadu,Chennai Central,Thiru Dayanidhi Maran,DMK,33454,2009
Kerala,Mavelikkara,Ramesh Chennithala,INC,33443,1999
Karnataka,Mangalore,D. V. Sadananda Gowda,BJP,33415,2004
Rajasthan,Bayana,Bahadur Singh,BJP,33332,1999
West Bengal,Balurghat,Dr Sukanta Majumdar,BJP,33293,2019
Maharashtra,Kolhapur,Dhananjay Bhimrao Mahadik,NCP,33259,2014
Maharashtra,Aurangabad,Chandrakant Bhaurao Khaire,SHS,33014,2009
Tamil Nadu,Chennai South,C. Rajendran,AIADMK,32935,2009
Uttar Pradesh,Hardwar,Harpal Singh Sathi,BJP,32847,1999
Andhra Pradesh,Bapatla,Malyadri Sriram,TDP,32754,2014
Karnataka,Davanagere,G.M. Siddeswara,BJP,32676,2004
Madhya Pradesh,Dhar,Chhatar Singh Darbar,BJP,32611,2004
Maharashtra,Nanded,Khatgaonkar Bhaskarrao Bapurao,INC,32575,1999
Uttar Pradesh,Badaun,Dharmendra Yadav,SP,32542,2009
Maharashtra,Chandrapur,Hansraj Gangaram Ahir,BJP,32495,2009
Uttar Pradesh,Ghazipur,Manoj Sinha,BJP,32452,2014
Karnataka,Koppal,Karadi Sanganna Amarappa,BJP,32414,2014
Goa,South Goa,Adv. Narendra Keshav Sawaikar,BJP,32330,2014
Punjab,Khadoor Sahib,Dr. Rattan Singh Ajnala,SAD,32260,2009
Rajasthan,Barmer,Col. Sonaram Choudhary,INC,32140,1999
Uttar Pradesh,Akbarpur,Raja Ram Pal,INC,32043,2009
Punjab,Amritsar,Raghunandan Lal Bhatia,INC,31999,1999
Andhra Pradesh,Narsapuram,KANUMURU RAGHU RAMA KRISHNA RAJU,YSRCP,31909,2019
Andhra Pradesh,Srikakulam,Yerrannaidu Kinjarapu,TDP,31879,2004
Maharashtra,Kolaba,A. R. Antulay,INC,31870,2004
Haryana,Hisar,Dushyant Chautala,INLD,31847,2014
Tamil Nadu,Krishnagiri,"Vetriselvan, V.",DMK,31824,1999
Bihar,Khagaria,Renu Kumari,JD(U),31822,1999
Karnataka,Bellary,G. Karunakara Reddy,BJP,31679,2004
Tamil Nadu,Tiruvallur,Dr. Ponnusamy Venugopal,AIADMK,31673,2009
Karnataka,Mysore,Prathap Simha,BJP,31608,2014
Karnataka,Udupi,Vinay Kumar Sorake,INC,31587,1999
Kerala,Kasaragod,T. Govindan,CPM,31578,1999
Maharashtra,Raigad,Sunil Dattatray Tatkare,NCP,31438,2019
Punjab,Ferozpur,Sher Singh Ghubaya,SAD,31420,2014
Assam,Nowgong,Rajen Gohain,BJP,31412,2004
Uttar Pradesh,Saidpur,Tufani Saroj,SP,31371,1999
Andhra Pradesh,Bobbili,Kondapalli Pydithalli Naidu,TDP,31348,2004
Uttar Pradesh,Lalganj,Dr. Bali Ram,BSP,30999,1999
Manipur,Inner Manipur,Dr. Thokchom Meinya,INC,30960,2009
Uttar Pradesh,Rampur,Smt. P. Jaya Prada Nahata,SP,30931,2009
Maharashtra,Latur,Patil Rupatai Diliprao Nilangekar,BJP,30891,2004
Madhya Pradesh,Mandsaur,Km. Meenakshi Natrajan,INC,30819,2009
Bihar,Saharsa,Ranjeet Ranjan,LJNSP,30787,2004
Kerala,Palghat,N.N.Krishnadas,CPM,30767,1999
Karnataka,Raichur,S. Pakkirappa,BJP,30636,2009
Orissa,Sambalpur,Nagendra Kumar Pradhan,BJD,30576,2014
Andaman and Nicobar Islands,Andaman & Nicobar Islands,Manoranjan Bhakta,INC,30500,2004
Telangana,Bhongir,Dr. Boora Narsaiah Goud,TRS,30494,2014
Assam,Barpeta,Ismail Hussain,INC,30429,2009
Karnataka,Bangalore North,Dr. H.T. Sangliana,BJP,30358,2004
Uttar Pradesh,Basti,Harish Chandra Alias Harish Dwivedi,BJP,30354,2019
Bihar,Madhepura,Sharad Yadav,JD(U),30320,1999
Karnataka,Chikmagalur,D.C.Srikantappa,BJP,30277,1999
Jammu And Kashmir,Srinagar,Dr. Farooq Abdullah,J&KNC,30242,2009
Jammu & Kashmir,Baramulla,Mohammad Akbar Lone,JKPDP,30233,2019
Assam,Tezpur,Joseph Toppo,AGP,30153,2009
Uttar Pradesh,Khalilabad,Bhal Chandra Yadav,SP,30028,1999
Tamil Nadu,Gobichettipalayam,"Kaliappan, K.K.",ADMK,30012,1999
Delhi,South Delhi,Vijay Kumar Malhotra,BJP,29999,1999
Orissa,Nabarangpur,Pradeep Majhi,INC,29977,2009
Assam,Mangaldoi,Narayan Chandra Borkataky,BJP,29866,2004
Rajasthan,Churu,Ramsingh Kaswan,BJP,29854,2004
Uttar Pradesh,Saidpur,Tufani Saroj,SP,29810,2004
Bihar,Jamui,Bhudeo Choudhary,JD(U),29797,2009
Uttar Pradesh,Pratapgarh,Rajkumari Ratna Singh,INC,29779,2009
Rajasthan,Karauli-Dholpur,Khiladi Lal Bairwa,INC,29723,2009
Madhya Pradesh,Gwalior,Narendra Singh Tomar,BJP,29699,2014
Uttar Pradesh,Garhwal,Maj Gen. (Rtd) Bhuwan Chandra Khanduri(A.V.S.M.),BJP,29682,1999
Punjab,Ludhiana,Sharanjit Singh Dhillon,SAD,29540,2004
Madhya Pradesh,Shahdol,Dalpat Singh Paraste,BJP,29349,2004
Uttar Pradesh,Chail,Suresh Pasi,BSP,29285,1999
Jammu & Kashmir,Baramulla,Muzaffar Hussain Baig,JKPDP,29219,2014
Karnataka,Udupi,Manorama Madhwaraj,BJP,29003,2004
Gujarat,Kutch,Gadhavi Pushpadan Shambhudan,BJP,28990,2004
Manipur,Outer Manipur,Holkhomang,NCP,28809,1999
Orissa,Bhadrak,Manjulata Mandal,BJD,28803,2019
Uttar Pradesh,Firozabad,Chandra Sen Jadun,BJP,28781,2019
Tamil Nadu,Palani,"Kumarasamy, P.",ADMK,28717,1999
Uttar Pradesh,Banda,Ram Sajiwan,BSP,28631,1999
Maharashtra,Gadchiroli-Chimur,Marotrao Sainuji Kowase,INC,28580,2009
Maharashtra,Ahmednagar,Dilipkumar Mansukhlal Gandhi,BJP,28457,1999
Uttar Pradesh,Bijnor,Sanjay Singh Chauhan,RLD,28430,2009
Uttar Pradesh,Allahabad,Kunwar Rewati Raman Singh Urf Mani Ji,SP,28383,2004
Telangana,Malkajgiri,Ch.Malla Reddy,TDP,28371,2014
Madhya Pradesh,Khajuraho,Jeetendra Singh Bundela,BJP,28332,2009
Maharashtra,Raver,Haribhau Madhav Jawale,BJP,28218,2009
Rajasthan,Sikar,Subhash Maharia,BJP,28173,1999
Assam,Lakhimpur,Dr. Arun Kumar Sarmah,AGP,28148,2004
Maharashtra,Buldhana,Prataprao Ganpatrao Jadhav,SHS,28078,2009
Uttar Pradesh,Mainpuri,Balram Singh Yadav,SP,28026,1999
Delhi,New Delhi,Jag Mohan,BJP,27893,1999
Bihar,Araria,Sukdeo Paswan,BJP,27744,2004
Himachal Pradesh,Shimla,Virender Kashyap,BJP,27327,2009
Punjab,Sangrur,Sukhdev Singh Dhindsa,SAD,27277,2004
Gujarat,Bharuch,Mansukhbhai D. Vasava,BJP,27232,2009
Rajasthan,Karauli-Dholpur,Manoj Rajoria,BJP,27216,2014
Uttar Pradesh,Farrukhabad,Salman Khurshid,INC,27199,2009
Andhra Pradesh,Rajampet,Gunipati Ramaiah,TDP,27170,1999
Uttar Pradesh,Jaunpur,Parasnath Yadava,SP,27125,2004
Gujarat,Chhota Udaipur,Ramsinh Patalyabhai Rathwa,BJP,26998,2009
Uttar Pradesh,Azamgarh,Rama Kant Yadav,SP,26979,1999
Uttar Pradesh,Saharanpur,Rasheed Masood,SP,26828,2004
Orissa,Kalahandi,Basanta Kumar Panda,BJP,26814,2019
Uttar Pradesh,Jalaun,Bhanu Pratap Singh Verma,BJP,26791,2004
Gujarat,Bulsar,Manibhai Ramjibhai Chaudhari,BJP,26786,1999
Jharkhand,Godda,Furkan Ansari,INC,26754,2004
Uttar Pradesh,Padrauna,Ram Nagina Mishra,BJP,26738,1999
Madhya Pradesh,Rajnandgaon,Dr. Raman,BJP,26715,1999
Andhra Pradesh,Cuddapah,Vivekananda Reddy Y.S.,INC,26597,1999
Madhya Pradesh,Gwalior,Smt. Yashodhara Raje Scindia,BJP,26591,2009
Punjab,Phillaur,Santosh Chowdhary,INC,26578,1999
Tamil Nadu,Tirunelveli,"Pandian, P.H.",ADMK,26494,1999
Gujarat,Jamnagar,Vikrambhai Arjanbhai Maadam,INC,26418,2009
Chhattisgarh,Korba,Smt. Jyotsna Mahant,INC,26349,2019
Uttar Pradesh,Bahraich,Rubab Sayeda,SP,26334,2004
Uttar Pradesh,Jhansi,Chandrapal Singh Yadav,SP,26299,2004
Bihar,Khunti,Kariya Munda,BJP,26262,1999
Uttar Pradesh,Bilhaur,Anil Shukla Warsi,BSP,26012,2004
Gujarat,Banaskantha,Chaudhary Haribhai Parthibhai,BJP,25976,1999
Gujarat,Surendranagar,Makwana Savshibhai Kanjibhai,INC,25905,1999
Kerala,Badagara,A.K. Premajam,CPM,25844,1999
Uttar Pradesh,Muzaffarnagar,Saiduzzaman,INC,25751,1999
Andhra Pradesh,Kakinada,VANGA GEETHAVISWANATH,YSRCP,25738,2019
Ladakh,Ladakh,Thupstan Chhewang,IND,25713,2004
Assam,Tezpur,Moni Kumar Subba,INC,25706,1999
Maharashtra,Pune,Suresh Kalmadi,INC,25701,2009
Tamil Nadu,Vellore,"Shanmugam, N.T.",PMK,25685,1999
Telangana,Nalgonda,Uttam Kumar Reddy Nalamada,INC,25682,2019
Tamil Nadu,Dharmapuri,"Elangovan, P.D.",PMK,25540,1999
Uttar Pradesh,Hamirpur,Vijay Bahadur Singh,BSP,25502,2009
Tamil Nadu,Salem,"Selvaganapathi, T.M.",ADMK,25411,1999
Uttar Pradesh,Basti,Lal Mani Prasad,BSP,25374,2004
Maharashtra,Madha,Mohite Patil Vijaysinh Shankarrao,NCP,25344,2014
Bihar,Ujiarpur,Smt. Ashwamedh Devi,JD(U),25312,2009
Orissa,Mayurbhanj,Er Biswesar Tudu,BJP,25256,2019
Kerala,Thrissur,P.C. Chacko,INC,25151,2009
Tamil Nadu,Sriperumbudur,Thiru Thalikkottai Rajuthevar Baalu,DMK,25036,2009
Punjab,Gurdaspur,Vinod Khanna,BJP,24983,2004
Orissa,Nowrangpur,Parsuram Majhi,BJP,24890,2004
Daman And Diu,Daman And Diu,Lalubhai Babubhai Patel,BJP,24838,2009
Uttar Pradesh,Meerut,Avtar Singh Bhadana,INC,24836,1999
Rajasthan,Salumber,Mahaveer Bhagora,BJP,24774,2004
Rajasthan,Kota,Raghuveer Singh Koushal,BJP,24769,1999
Gujarat,Rajkot,Kunwarjibhai Mohanbhai Bavaliya,INC,24735,2009
Bihar,Bettiah,Raghunath Jha,RJD,24671,2004
West Bengal,Malda,Abul Barkat Ataul G K Choudhury,INC,24553,1999
Andhra Pradesh,Kurnool,Kambhalapati E. Krishna Murthy,TDP,24487,1999
Haryana,Bhiwani,Kuldeep Bishnoi,INC,24404,2004
Maharashtra,Nagpur,Vilas Baburao Muttemwar,INC,24399,2009
Madhya Pradesh,Rajgarh,Narayan Singh Amlabe,INC,24388,2009
Maharashtra,Nanded,D. B. Patil,BJP,24335,2004
Uttar Pradesh,Machhlishahr,Tufani Saroj,SP,24306,2009
Maharashtra,Kalyan,Anand Prakash Paranjpe,SHS,24202,2009
Pondicherry,Pondicherry,M O H Farook,INC,24188,1999
Assam,Autonomous District,Biren Singh Engti,INC,24129,2004
Assam,Autonomous District,Biren Singh Engti,INC,24095,2014
Tamil Nadu,Nilgiris,"Mathan, M. (Alias) Master Mathan, M.",BJP,23959,1999
Orissa,Bhubaneswar,Smt. Aparajita Sarangi,BJP,23839,2019
Tamil Nadu,Sivaganga,"Sudarsana Natchiappan,E.M.",INC,23811,1999
Uttar Pradesh,Bijnor,Sheeshram Singh Ravi,BJP,23700,1999
Punjab,Anandpur Sahib,Prem Singh Chandumajra,SAD,23697,2014
Mizoram,Mizoram,Vanlalzawma,MNF,23694,2004
Uttar Pradesh,Gonda,Beni Prasad Verma,INC,23675,2009
Punjab,Patiala,Preneet Kaur,INC,23667,2004
Gujarat,Patan,Kanodia Maheshkumar Mithabhai,BJP,23624,2004
Karnataka,Bidar,Ramchandra Veerappa,BJP,23621,2004
Tamil Nadu,Tiruppattur,"Venugopal, D.",DMK,23613,1999
Bihar,Pataliputra,Prof. Ranjan Prasad Yadav,JD(U),23541,2009
Jharkhand,Palamu,Kameshwar Baitha,JMM,23538,2009
Tamil Nadu,Cuddalore,Sambandam Keerapalayam Alagiri,INC,23532,2009
Uttar Pradesh,Baghpat,Dr. Satyapal Singh,BJP,23502,2019
Karnataka,Mandya,N. Chaluvaraya Swamy,JD(S),23500,2009
Uttar Pradesh,Rampur,Dr. Nepal Singh,BJP,23435,2014
Rajasthan,Jhunjhunu,Shish Ram Ola,INC,23355,2004
Uttar Pradesh,Misrikh,Ashok Kumar Rawat,BSP,23292,2009
Jammu And Kashmir,Srinagar,Omar Abdullah,JKN,23159,2004
Karnataka,Kolar,K.H. Muniyappa,INC,23006,2009
Assam,Mangaldoi,Ramen Deka,BJP,22884,2014
Uttar Pradesh,Hathras,Kishan Lal Diler,BJP,22837,2004
Andhra Pradesh,Hindupur,Kristappa Nimmala,TDP,22835,2009
Gujarat,Dhandhuka,Varma Ratilal Kalidas,BJP,22794,2004
Karnataka,Uttara Kannada,Anant Kumar Dattatreya Hegde,BJP,22769,2009
Uttar Pradesh,Ambedkar Nagar,Rakesh Pandey,BSP,22736,2009
Bihar,Araria,Pradeep Kumar Singh,BJP,22502,2009
Chhattisgarh,Kanker,Sohan Potai,BJP,22484,2009
Tamil Nadu,Nagapattinam,"Vijayan, A.K.S.",DMK,22466,1999
Uttar Pradesh,Kairana,Begum Tabassum Hasan,BSP,22463,2009
Uttar Pradesh,Saharanpur,Haji Fazlurregman,BSP,22417,2019
Bihar,Vaishali,Dr. Raghuvansh Prasad Singh,RJD,22308,2009
Uttar Pradesh,Saharanpur,Mansoor Ali Khan,BSP,22307,1999
West Bengal,Krishnanagar,Satyabrata Mookherjee,BJP,22234,1999
Maharashtra,Mumbai-South-Central,Mohan Rawale,SHS,22188,2004
Andhra Pradesh,Medak,A. Narendra,BJP,22083,1999
Maharashtra,Nashik,Sameer Magan Bhujbal,NCP,22032,2009
Kerala,Adoor,Kodikunnil Suresh,INC,22006,1999
Andhra Pradesh,Ongole,Karanam Balarama Krishna Murthy,TDP,21948,1999
Gujarat,Mehsana,Smt. Jayshreeben Patel,BJP,21865,2009
Bihar,Monghyr,Brahma Nand Mandal,JD(U),21815,1999
Punjab,Bathinda,Harsimrat Kaur Badal ,SAD,21772,2019
Rajasthan,Banswara,Dhan Singh Rawat,BJP,21683,2004
Bihar,Motihari,Radha Mohan Singh,BJP,21670,1999
Karnataka,Tumkur,Gangasandra Siddappa Basavaraj,BJP,21445,2009
Bihar,Banka,Digvijay Singh,JD(U),21408,1999
West Bengal,Alipurduars,Dasrath Tirkey,AITC,21397,2014
Sikkim,Sikkim,Bhim Pd. Dahal,SDF,21362,1999
Assam,Dhubri,Abdul Hamid,INC,21340,1999
Bihar,Jahanabad,Jagdish Sharma,JD(U),21327,2009
Assam,Silchar,Sontosh Mohan Dev,INC,21320,2004
Tamil Nadu,Tirunelveli,S.S. Ramasubbu,INC,21303,2009
Uttar Pradesh,Machhlishahr,Chandra Nath Singh,SP,21159,1999
Tamil Nadu,Periyakulam,Aaron Rashid J. M.,INC,21155,2004
Andhra Pradesh,Anantapur,Kalava Srinivasulu,TDP,21102,1999
Uttar Pradesh,Kushi Nagar,Ratanjit Pratap Narain Singh,INC,21094,2009
Punjab,Ferozpur,Sher Singh Ghubaya,SAD,21071,2009
Uttar Pradesh,Ghosi,Chandradeo Prasad Rajbhar,SP,21012,2004
Kerala,Alathur,Parayamparanbil Kuttappan Biju,CPM,20960,2009
Punjab,Patiala,Dr. Dharam Vira Gandhi,AAP,20942,2014
Uttar Pradesh,Barabanki,Kamla Prasad,BSP,20922,2004
Uttarakhand,Tehri Garhwal,Vijay Bahuguna,INC,20911,2004
Maharashtra,Khed,Adhalarao Patil Shivajirao,SHS,20810,2004
Gujarat,Sabarkantha,Mistry Madhusudan Devram,INC,20809,1999
Bihar,Gaya,Ramji Manjhi,BJP,20783,1999
Himachal Pradesh,Kangra,Dr. Rajan Sushant,BJP,20779,2009
Madhya Pradesh,Bastar,Baliram Kashyap,BJP,20737,1999
Madhya Pradesh,Balaghat,Prahladsingh Patel,BJP,20678,1999
Maharashtra,Jalgaon,Y. G. Mahajan,BJP,20646,2004
Uttar Pradesh,Muzaffarnagar,Kadir Rana,BSP,20598,2009
Bihar,Madhubani,Hukm Deo Narayan Yadav,BJP,20535,2014
Bihar,Begusarai,Rajiv Ranjan Singh,JD(U),20491,2004
Bihar,Karakat,Mahabali Singh,JD(U),20483,2009
West Bengal,Dum Dum,Prof. Saugata Roy,AITC,20478,2009
West Bengal,Krishnanagar,Jyotirmoyee Sikdar,CPM,20387,2004
Tamil Nadu,Dindigul,"Sreenivaasan, C.",ADMK,20343,1999
Andhra Pradesh,Mahabubnagar,Kalva Kuntla Chandrasekhar Rao,TRS,20184,2009
Uttar Pradesh,Balrampur,Rizvan Zaheer Alias Rijju Bhaiya,SP,20157,1999
Uttar Pradesh,Phulpur,Dharam Raj Singh Patel,SP,20039,1999
Bihar,Begusarai,Rajo Singh,INC,19950,1999
Uttar Pradesh,Kannauj,Dimple Yadav,SP,19907,2014
Madhya Pradesh,Shahdol,Dalpat Singh,BJP,19901,1999
Bihar,Giridih,Ravindra Kumar Pandey,BJP,19824,1999
Punjab,Ludhiana,Ravneet Singh Bittu,INC,19709,2014
West Bengal,Serampore,Santasri Chatterjee,CPM,19687,2004
Uttar Pradesh,Mirzapur,Bal Kumar Patel,SP,19682,2009
Uttar Pradesh,Sitapur,Smt. Kaisar Jahan,BSP,19632,2009
Rajasthan,Bikaner,Arjun Ram Meghwal,BJP,19575,2009
Orissa,Bolangir,Shri Sangeeta Kumari Singh Deo,BJP,19516,2019
Punjab,Jalandhar,Santokh Singh Chaudhary,INC,19491,2019
Maharashtra,Dhule,Sonawane Pratap Narayanrao,BJP,19419,2009
Uttar Pradesh,Misrikh,Ashok Kumar Rawat,BSP,19403,2004
Punjab,Bathinda,Harsimrat Kaur Badal,SAD,19395,2014
Andhra Pradesh,Karimnagar,Chennamaneni Vidyasagar Rao,BJP,19370,1999
Orissa,Koraput,Jhina Hikaka,BJD,19328,2014
West Bengal,Purulia,Narahari Mahato,AIFB,19301,2009
Kerala,Quilon,P. Rajendran,CPM,19284,1999
Andhra Pradesh,Tirupati,Dr. Chinta Mohan,INC,19276,2009
Orissa,Phulbani,Sugrib Singh,BJD,19272,2004
Andhra Pradesh,Warangal,Dharavath Ravinder Naik,TRS,19262,2004
Madhya Pradesh,Hoshangabad,Uday Pratap Singh,INC,19245,2009
Tamil Nadu,Chennai North,T.K.S. Elangovan,DMK,19153,2009
Uttar Pradesh,Kanpur,Sriprakash Jaiswal,INC,18906,2009
